"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","BK-345: should accept evidence links without limit","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","262","BK-356: should show rising trend with positive percent","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","218","BK-431: should reject tag with comma","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","335","BK-380: should reject invalid test","integration","2026-08-30","passed","2026-08-30","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","253","BK-436: should filter tests by tag","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","396","BK-388: should finish run successfully","integration","2026-08-30","passed","2026-08-30","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","239","BK-421: should return 404 for missing test","integration","2026-08-30","passed","2026-08-30","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","4147","UI Setup: authenticate via UI","ui-setup","2026-08-30","passed","2026-08-30","","setup/ui-auth.setup.ts","",""
"","893","BK-387: should reject conflicting idempotency key","integration","2026-08-30","passed","2026-08-30","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","354","BK-393: should integrate with run lifecycle","integration","2026-08-30","passed","2026-08-30","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","276","BK-422: should return 404 for foreign workspace","integration","2026-08-30","passed","2026-08-30","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","239","BK-419: should view ATCs in order","integration","2026-08-30","passed","2026-08-30","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","247","BK-344: should reject invalid severity","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","248","BK-362: should show child keeps own non-collapsed cell","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Hierarchy","integration/heatmap-defects/heatmapHierarchy.test.ts","",""
"","559","BK-346: should verify TMS-native defect without Jira sync","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","240","BK-351: should get heatmap with default 30d window","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","265","BK-360: should handle curr 0 / prev > 0 (trend is negative)","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","292","BK-338: should reject invalid run_step_id","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","224","BK-430: should reject too many tags","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","241","BK-320: should list runs happy path","integration","2026-08-30","passed","2026-08-30","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","355","BK-391: should mark remaining as skipped","integration","2026-08-30","passed","2026-08-30","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","355","BK-424: should meet performance target","integration","2026-08-30","passed","2026-08-30","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","515","BK-405: should persist reordered ATCs","integration","2026-08-30","passed","2026-08-30","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","310","BK-366: should return fresh data via live RPC (no MV)","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Integration","integration/heatmap-defects/heatmapIntegration.test.ts","",""
"","289","BK-434: should trim custom tags","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","267","BK-410: should handle version conflict","integration","2026-08-30","passed","2026-08-30","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","251","BK-427: should replace tags","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","245","BK-433: should normalize reserved tags to lowercase","integration","2026-08-30","passed","2026-08-30","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","251","BK-359: should handle 0/0 flat (pct: 0)","integration","2026-08-30","passed","2026-08-30","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","349","BK-390: should bump version","integration","2026-08-30","passed","2026-08-30","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","344","BK-375: should start run successfully","integration","2026-08-30","passed","2026-08-30","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","331","BK-343: should reject missing module","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","1101","BK-386: should reject duplicate idempotency key","integration","2026-08-30","passed","2026-08-30","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","348","BK-342: should reject invalid title length","integration","2026-08-30","passed","2026-08-30","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","254","BK-383: should handle viewer role","integration","2026-08-30","passed","2026-08-30","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","238","BK-324: should handle invalid test","integration","2026-08-30","passed","2026-08-30","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
